T,rec_id,N,m,status
T05,49,320,5,no_data
T05,51,320,5,no_data
T05,51,320,10,no_data
T05,52,320,5,no_data
T05,52,320,10,no_data
T05,53,320,20,no_data
T05,53,320,40,no_data
T05,53,320,80,no_data
T05,53,320,160,no_data
T05,54,320,5,no_data
T05,54,320,10,no_data
T05,54,320,20,no_data
T05,54,320,40,no_data
T05,54,320,80,no_data
T05,54,320,160,no_data
T05,54,320,320,no_data
T05,55,320,5,no_data
T05,55,320,10,no_data
T05,55,320,20,no_data
T05,55,320,40,no_data
T05,55,320,80,no_data
T05,55,320,160,no_data
T05,55,320,320,no_data
T05,56,160,5,no_data
T05,56,160,10,no_data
T05,56,320,5,no_data
T05,56,320,10,no_data
T05,56,320,20,no_data
T05,56,320,40,no_data
T05,56,320,80,no_data
T05,56,320,160,no_data
T05,56,320,320,no_data
T05,57,20,320,no_data
T05,57,40,5,no_data
T05,57,40,10,no_data
T05,57,40,20,no_data
T05,57,40,40,no_data
T05,57,40,80,no_data
T05,57,40,160,no_data
T05,57,40,320,no_data
T05,57,80,5,no_data
T05,57,80,10,no_data
T05,57,80,20,no_data
T05,57,80,40,no_data
T05,57,80,80,no_data
T05,57,80,160,no_data
T05,57,80,320,no_data
T05,57,160,5,no_data
T05,57,160,10,no_data
T05,57,160,20,no_data
T05,57,160,40,no_data
T05,57,160,80,no_data
T05,57,160,160,no_data
T05,57,160,320,no_data
T05,57,320,5,no_data
T05,57,320,10,no_data
T05,57,320,20,no_data
T05,57,320,40,no_data
T05,57,320,80,no_data
T05,57,320,160,no_data
T05,57,320,320,no_data
