T,rec_id,converged,num_converged,num_incomplete,num_not_converged,num_hit_maxiter,num_diverged,num_crashed,num_error_should_be_converged,num_no_data,best_N,best_m,best_iter,min_N_converged,min_m_converged,median_iter,converged_T
T05,1,yes,49,0,0,0,0,0,0,0,5,80,68.0,5,5,739.0,
T05,2,yes,49,0,0,0,0,0,0,0,5,80,64.0,5,5,592.0,
T05,3,yes,49,0,0,0,0,0,0,0,5,320,66.0,5,5,666.0,
T05,4,yes,49,0,0,0,0,0,0,0,5,160,73.0,5,5,675.0,
T05,5,yes,49,0,0,0,0,0,0,0,5,160,65.0,5,5,704.0,
T05,6,yes,49,0,0,0,0,0,0,0,5,320,83.0,5,5,835.0,
T05,7,yes,49,0,0,0,0,0,0,0,5,320,55.0,5,5,607.0,
T05,8,yes,49,0,0,0,0,0,0,0,5,320,74.0,5,5,781.0,
T05,9,yes,49,0,0,0,0,0,0,0,5,320,120.0,5,5,1012.0,
T05,10,yes,49,0,0,0,0,0,0,0,5,80,65.0,5,5,731.0,
T05,11,yes,49,0,0,0,0,0,0,0,5,320,77.0,5,5,954.0,
T05,12,yes,49,0,0,0,0,0,0,0,5,160,64.0,5,5,754.0,
T05,13,yes,49,0,0,0,0,0,0,0,5,160,77.0,5,5,799.0,
T05,14,yes,49,0,0,0,0,0,0,0,5,320,80.0,5,5,802.0,
T05,15,yes,49,0,0,0,0,0,0,0,5,160,79.0,5,5,873.0,
T05,16,yes,49,0,0,0,0,0,0,0,5,320,93.0,5,5,904.0,
T05,17,yes,49,0,0,0,0,0,0,0,5,160,79.0,5,5,693.0,
T05,18,yes,49,0,0,0,0,0,0,0,5,80,69.0,5,5,588.0,
T05,19,yes,49,0,0,0,0,0,0,0,5,160,68.0,5,5,946.0,
T05,20,yes,49,0,0,0,0,0,0,0,5,160,88.0,5,5,910.0,
T05,21,yes,49,0,0,0,0,0,0,0,5,320,92.0,5,5,830.0,
T05,22,yes,49,0,0,0,0,0,0,0,5,320,61.0,5,5,510.0,
T05,23,yes,49,0,0,0,0,0,0,0,5,80,85.0,5,5,776.0,
T05,24,yes,49,0,0,0,0,0,0,0,5,320,63.0,5,5,597.0,
T05,25,yes,49,0,0,0,0,0,0,0,5,320,71.0,5,5,625.0,
